,Yokohama,Shimizu,Nagoya,Kobe,Busan,Kwangyang,Dalian,Xingang,Qingdao,Liangyungang,Shanghai,Ningbo,Fuzhou,Taipei,Xiamen,Kaohsiung,Shenzhen Yantian,Hong Kong,Shenzhen Chiwan,Shenzhen Da Chan Bay,Vung Tau,Laem Chabang,Singapore,Tanjung Pelepas,Port Klang,Colombo,Jebel Ali,Salalah,Jeddah,Port Said,Damietta,Izmit,Istanbul Ambarli,Odessa,Ilyichevsk,Constantza,Piraeus,Rijeka,Koper,Trieste,Gioia Tauro,Genoa,Fos,Barcelona,Valencia,Malaga,Algeciras,Tangiers,Le Havre,Felixstowe,Zeebrugge,Antwerp,Rotterdam,Bremerhaven,Hamburg,Gothenburg,Aarhus,Gdansk
Yokohama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9826,3083,2731,3065,980,138,1622,109,84,525,1240,128,303,245,2473,1355,780,1590,3228,256,2688,883,1943,2738,2057,6457,8606,4007,6192,722,603,213
Shimizu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756,551,488,548,175,25,290,19,15,94,222,23,54,44,442,242,139,284,577,46,480,158,347,489,368,1154,1538,716,1107,129,108,38
Nagoya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7419,2328,2062,2314,740,104,1225,82,63,396,936,97,229,185,1868,1023,589,1201,2437,193,2029,667,1467,2068,1553,4875,6499,3025,4676,545,456,160
Kobe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7891,2476,2193,2462,787,111,1302,87,67,422,996,103,243,196,1986,1088,626,1277,2592,206,2158,709,1561,2199,1652,5185,6912,3218,4973,580,484,171
Busan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41983,13171,11667,13096,4186,590,6929,465,359,2243,5297,547,1295,1045,10567,5788,3331,6794,13790,1094,11484,3774,8303,11700,8787,27587,36772,17118,26456,3086,2578,908
Kwangyang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6358,1995,1767,1983,634,89,1049,70,54,340,802,83,196,158,1600,877,504,1029,2088,166,1739,572,1257,1772,1331,4178,5569,2592,4006,467,390,138
Dalian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15986,5015,4442,4986,1594,225,2638,177,137,854,2017,208,493,398,4024,2204,1268,2587,5251,417,4373,1437,3161,4455,3346,10504,14001,6518,10074,1175,981,346
Xingang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30552,9585,8490,9530,3047,429,5043,339,261,1632,3854,398,943,761,7690,4212,2424,4944,10035,796,8357,2747,6042,8514,6394,20076,26760,12458,19253,2246,1876,661
Qingdao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36031,11304,10013,11239,3593,506,5947,399,308,1925,4546,470,1112,897,9069,4967,2859,5831,11835,939,9855,3239,7126,10041,7541,23676,31558,14692,22705,2648,2212,779
Liangyungang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10608,3328,2948,3309,1058,149,1751,118,91,567,1338,138,327,264,2670,1463,842,1717,3485,276,2902,954,2098,2956,2220,6971,9292,4326,6685,780,651,229
Shanghai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87801,27546,24399,27388,8755,1234,14491,973,751,4691,11077,1144,2709,2186,22100,12105,6966,14209,28840,2288,24016,7893,17364,24468,18376,57694,76903,35801,55329,6453,5391,1899
Ningbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36884,11572,10250,11505,3678,518,6087,409,315,1970,4653,481,1138,918,9284,5085,2926,5969,12115,961,10089,3316,7294,10279,7719,24236,32305,15039,23243,2711,2265,798
Fuzhou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4132,1296,1148,1289,412,58,682,46,35,221,521,54,127,103,1040,570,328,669,1357,108,1130,371,817,1151,865,2715,3619,1685,2604,304,254,89
Taipei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3512,1102,976,1095,350,49,580,39,30,188,443,46,108,87,884,484,279,568,1154,92,961,316,695,979,735,2308,3076,1432,2213,258,216,76
Xiamen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16436,5157,4568,5127,1639,231,2713,182,141,878,2074,214,507,409,4137,2266,1304,2660,5399,428,4496,1478,3251,4580,3440,10800,14396,6702,10358,1208,1009,356
Kaohsiung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30136,9455,8374,9400,3005,423,4974,334,258,1610,3802,393,930,750,7585,4155,2391,4877,9899,785,8243,2709,5960,8398,6307,19802,26395,12288,18990,2215,1850,652
